log_id,label_x,user_id,age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,net_type,task_id,adv_id,creat_type_cd,adv_prim_id,inter_type_cd,slot_id,site_id,spread_app_id,hispace_app_tags,app_second_class,app_score,pt_d,u_refreshTimes_x,u_feedLifeCycle_x,u_userId,u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle_y,u_refreshTimes_y,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_pl,e_rn,e_section,e_et,label_y,cillabel,pro,ad_click_list_v001_1,ad_click_list_v001_2,ad_click_list_v001_3,ad_click_list_v001_4,ad_click_list_v001_5,ad_click_list_v002_1,ad_click_list_v002_2,ad_click_list_v002_3,ad_click_list_v002_4,ad_click_list_v002_5,ad_click_list_v003_1,ad_click_list_v003_2,ad_click_list_v003_3,ad_click_list_v003_4,ad_click_list_v003_5,ad_close_list_v001_1,ad_close_list_v001_2,ad_close_list_v001_3,ad_close_list_v001_4,ad_close_list_v001_5,ad_close_list_v002_1,ad_close_list_v002_2,ad_close_list_v002_3,ad_close_list_v002_4,ad_close_list_v002_5,ad_close_list_v003_1,ad_close_list_v003_2,ad_close_list_v003_3,ad_close_list_v003_4,ad_close_list_v003_5,u_newsCatInterestsST_x_1,u_newsCatInterestsST_x_2,u_newsCatInterestsST_x_3,u_newsCatInterestsST_x_4,u_newsCatInterestsST_x_5,u_newsCatInterests_1,u_newsCatInterests_2,u_newsCatInterests_3,u_newsCatInterests_4,u_newsCatInterests_5,u_newsCatDislike_1,u_newsCatDislike_2,u_newsCatDislike_3,u_newsCatDislike_4,u_newsCatDislike_5,u_newsCatInterestsST_y_1,u_newsCatInterestsST_y_2,u_newsCatInterestsST_y_3,u_newsCatInterestsST_y_4,u_newsCatInterestsST_y_5,u_click_ca2_news_1,u_click_ca2_news_2,u_click_ca2_news_3,u_click_ca2_news_4,u_click_ca2_news_5
790391,0,226283,4,2,22,138,4,18,8,22,298,1751,7,24825,18479,10,1761,5,33,1,155,27,14,9,-2147483648,8,17,214026,12,17,11,17,2,311,210,2,5,12,12,847,12,1738,15,0,-2147483648,0,0,6,29949,8879,28748,20771,15758,1116,1735,1714,1799,1644,274,287,351,331,360,19196,4117,1896,2475,7060,1033,301,631,116,40,235,75,15,12,38,150,181,118,36,101,152,51,39,47,131,13,12,23,5,1,203,168,75,177,147,217,182,50,27,200
220421,0,128980,6,3,22,210,4,13,5,27,304,2378,6,18165,18282,10,1161,5,19,1,181,32,12,9,-2147483648,8,16,160970,13,17,12,14,6,175,182,0,1,11,18,1078,12,2469,28,0,-2147483648,0,0,10,23140,31866,21737,26392,11946,1065,1869,2063,817,1961,141,316,257,254,333,15242,1875,1479,2551,844,1013,567,194,45,47,181,20,7,5,5,14,92,169,135,188,39,80,43,102,197,23,20,8,11,2,131,165,45,82,147,28,72,173,79,102
789382,0,156051,7,2,15,111,3,25,3,34,174,1272,6,17441,11185,3,1116,3,30,1,176,33,14,5,-2147483648,6,16,157196,15,17,16,14,1,1612,192,0,1,12,19,134,2,2464,60,0,-2147483648,0,0,2,32181,7333,26275,24309,24728,1398,33,756,1219,209,309,36,116,16,55,22856,25238,856,6768,4720,1128,579,169,41,75,363,5,7,34,11,19,196,52,31,52,100,84,198,201,20,25,7,94,40,20,62,154,96,13,40,87,59,101,152,66
1017880,0,156755,7,2,17,335,5,36,2,11,339,1844,6,32074,16106,6,1196,3,54,1,200,33,21,9,-2147483648,8,17,120741,15,17,13,16,8,1104,189,2,3,14,19,524,2,2961,3,0,-2147483648,0,0,1,31025,25869,28305,28767,20504,1999,1822,1116,1187,1602,128,301,346,255,133,31605,1855,6185,12409,10475,2030,170,264,37,119,235,9,46,46,191,116,214,44,209,62,172,75,146,86,49,14,21,44,117,66,138,105,59,52,32,198,33,119,173,30
866069,0,280476,9,3,14,199,3,15,3,34,150,2282,6,14045,18106,7,1395,4,46,1,328,52,13,8,-2147483648,8,16,286497,14,16,14,13,1,275,199,0,1,11,12,1432,3,644,16,0,-2147483648,0,0,1,34741,34272,34405,34410,21476,1137,749,1716,625,1604,366,99,35,47,13,12476,2011,2835,5229,1449,1041,645,469,29,11,140,3,4,71,11,98,152,170,193,118,196,151,104,136,116,2,34,18,21,2,189,163,144,67,146,62,210,113,209,195
755584,0,176828,4,2,38,321,4,22,6,30,227,1613,5,33237,19168,8,1093,4,50,1,245,35,25,10,-2147483648,9,17,168135,13,17,15,15,5,1366,104,4,2,13,16,1300,16,1413,17,0,-2147483648,0,0,1,19663,4841,16519,10858,13368,1196,1031,819,1811,551,286,123,105,90,324,29821,2515,2987,689,8171,1070,56,295,155,217,236,35,44,42,31,3,156,131,17,88,12,129,195,30,12,3,23,23,17,7,73,72,40,177,106,123,118,181,36,186
62770,0,115574,9,2,28,211,4,13,3,34,349,1816,3,33956,14303,8,2032,4,14,1,171,25,15,10,-2147483648,9,16,117107,10,15,10,16,8,1909,170,0,1,11,15,187,21,2975,13,0,-2147483648,0,0,45,30969,12636,12060,19861,34082,1712,374,1559,2026,1370,268,36,369,278,51,24432,5701,8489,16391,9505,2034,954,401,1989,228,163,67,11,329,119,34,111,182,39,51,128,73,110,55,7,27,56,34,126,210,10,78,87,13,61,104,10,170,29,108
104290,0,180163,8,2,17,324,4,27,7,23,238,2274,6,32979,15829,9,1648,5,32,1,346,48,14,8,-2147483648,6,17,199209,13,16,15,15,6,137,45,1,6,13,16,1301,3,520,7,0,-2147483648,0,0,10,18389,19899,12123,13745,17970,1063,2010,1335,619,2035,305,161,288,152,46,18682,2945,901,5558,2855,1110,361,407,84,54,136,52,32,4,3,114,69,103,67,26,142,29,76,209,177,13,34,8,24,6,13,173,117,160,88,51,27,11,193,145
975799,0,229814,7,2,17,321,4,12,6,20,251,1915,5,26882,16128,8,1238,4,46,1,197,45,18,6,-2147483648,7,17,129226,11,16,14,16,5,459,186,0,0,12,12,1063,2,2632,26,0,-2147483648,0,0,4,26726,13905,30461,9988,16506,1325,1973,1864,1630,1168,351,251,326,191,96,25494,10569,1059,4843,10132,1314,363,497,116,194,125,37,32,7,3,76,25,14,19,48,61,30,148,181,76,4,101,11,9,22,19,136,128,70,133,76,48,124,65,109
613103,0,178135,4,2,29,203,4,16,3,17,163,1119,5,16486,18083,5,1218,3,31,1,251,16,17,8,-2147483648,9,15,144939,13,17,14,17,7,861,178,1,4,12,16,491,5,147,12,1,-2147483648,0,0,14,16652,22776,5610,25277,21008,1418,966,1515,937,1631,207,194,343,358,311,30478,4480,6107,4936,12885,1415,539,156,122,152,121,13,51,11,19,128,45,86,123,52,22,60,145,34,173,19,22,14,89,72,188,137,99,187,14,190,78,111,89,133
